feature,mean_abs_shap
 Equity to Long-term Liability,0.03981616564973951
 Cash Flow to Total Assets,0.039816165649718495
 Persistent EPS in the Last Four Seasons,0.02937244165711661
 Cash Flow Per Share,0.02937244165711509
 Net Value Per Share (B),0.027444970422681597
 Tax rate (A),0.027444970422678246
 Debt ratio %,0.02315402660601916
 Net worth/Assets,0.023154026606010035
 Cash Flow to Sales,0.020537861750897102
 Fixed Assets to Assets,0.020537861750895805
 Working capitcal Turnover Rate,0.017817427849679112
 Cash Turnover Rate,0.017817427849655374
 Operating Profit Rate,0.016389010059973345
 Realized Sales Gross Margin,0.01638901005997165
 Interest-bearing debt interest rate,0.013560221146478011
 Cash flow rate,0.013560221146477371
 ROA(A) before interest and % after tax,0.012229779125954398
 ROA(C) before interest and depreciation before interest,0.012229779125953272
 Liability-Assets Flag,0.009894279895406512
 Net Income to Total Assets,0.009894279895406042
 Accounts Receivable Turnover,0.009697705325207216
 Total Asset Turnover,0.009697705325206822
 Net Value Per Share (C),0.008102286708092512
 Net Value Per Share (A),0.008102286708091103
 Operating Gross Margin,0.00802294667515272
 ROA(B) before interest and depreciation after tax,0.008022946675152718
 Cash Flow to Liability,0.007339576342828017
 CFO to Assets,0.007339576342821265
 Cash/Total Assets,0.0063128858336083385
 Quick Assets/Current Liability,0.006312885833606089
 Total expense/Assets,0.005864313689623431
 Total income/Total expense,0.005864313689623088
 Research and development expense rate,0.00565284474254112
 Operating Expense Rate,0.005652844742540875
 Total Asset Growth Rate,0.005436557935577758
 Net Value Growth Rate,0.005436557935577645
 Total Asset Return Growth Rate Ratio,0.005305884359710905
 Cash Reinvestment %,0.005305884359710601
 Total debt/Total net worth,0.005000305536755779
 Interest Expense Ratio,0.005000305536755675
 Current Assets/Total Assets,0.0049488396573301625
 Quick Assets/Total Assets,0.004948839657328836
 Current Ratio,0.0045077003582470925
 Quick Ratio,0.00450770035824707
 Allocation rate per person,0.0036067732161657933
 Working Capital to Total Assets,0.003606773216165445
 Realized Sales Gross Profit Growth Rate,0.003300573516520398
 Per Share Net profit before tax (Yuan ¥),0.0033005735164953593
 Operating profit per person,0.0031347325353353536
 Revenue per person,0.0031347325353351363
