AverageSpend,WaitTime,ServiceRating,satisfaction,satisfaction_category,ServiceQuality_Impact,WaitTime_Impact
156.13080832081667,4.710545698906536,5,4.222222222222222,High,Excellent service quality is driving high satisfaction,Short wait times are contributing to high satisfaction
160.89561479129142,47.94503979147573,5,4.222222222222222,High,Excellent service quality is driving high satisfaction,"Long wait times, but customers are still satisfied"
154.22097110338623,50.02531891853573,5,4.222222222222222,High,Excellent service quality is driving high satisfaction,"Long wait times, but customers are still satisfied"
161.78224322513424,49.37185458054247,4,4.222222222222222,High,Excellent service quality is driving high satisfaction,"Long wait times, but customers are still satisfied"
173.8723104623021,55.6601747736366,3,4.222222222222222,High,Service quality has moderate impact on satisfaction,"Long wait times, but customers are still satisfied"
154.4626494649179,42.90587508712201,5,4.222222222222222,High,Excellent service quality is driving high satisfaction,"Long wait times, but customers are still satisfied"
170.14540938305623,48.38887363368436,1,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway","Long wait times, but customers are still satisfied"
191.48879894980664,18.201694175837183,2,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway",Short wait times are contributing to high satisfaction
184.2614209120665,57.54125311240168,4,4.222222222222222,High,Excellent service quality is driving high satisfaction,"Long wait times, but customers are still satisfied"
198.489279119201,52.72098723679412,5,4.222222222222222,High,Excellent service quality is driving high satisfaction,"Long wait times, but customers are still satisfied"
168.33818903482324,3.381267677858253,2,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway",Short wait times are contributing to high satisfaction
178.08296444604133,56.57220739739039,5,4.222222222222222,High,Excellent service quality is driving high satisfaction,"Long wait times, but customers are still satisfied"
185.28901044774884,56.905042702480216,3,4.222222222222222,High,Service quality has moderate impact on satisfaction,"Long wait times, but customers are still satisfied"
187.64583251054344,3.682724780998079,1,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway",Short wait times are contributing to high satisfaction
156.67173066357182,17.836599573670306,3,4.222222222222222,High,Service quality has moderate impact on satisfaction,Short wait times are contributing to high satisfaction
151.41170305079248,41.80406928788184,1,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway","Long wait times, but customers are still satisfied"
184.4537882431129,19.733585247696897,2,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway",Short wait times are contributing to high satisfaction
188.8233927541393,52.94917079053159,5,4.222222222222222,High,Excellent service quality is driving high satisfaction,"Long wait times, but customers are still satisfied"
162.25550865054805,49.40506212172756,2,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway","Long wait times, but customers are still satisfied"
168.7289377421239,4.284510288500556,4,4.222222222222222,High,Excellent service quality is driving high satisfaction,Short wait times are contributing to high satisfaction
154.49979122887007,43.328558132386746,4,4.222222222222222,High,Excellent service quality is driving high satisfaction,"Long wait times, but customers are still satisfied"
196.4614879909696,52.06887782914677,1,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway","Long wait times, but customers are still satisfied"
198.9714685355353,16.78952188776945,3,4.222222222222222,High,Service quality has moderate impact on satisfaction,Short wait times are contributing to high satisfaction
185.5522469656781,44.57314397624751,1,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway","Long wait times, but customers are still satisfied"
158.63869643815414,17.19321849537098,2,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway",Short wait times are contributing to high satisfaction
173.24258041492422,10.942907106584588,5,4.222222222222222,High,Excellent service quality is driving high satisfaction,Short wait times are contributing to high satisfaction
197.21686201105783,12.825703842954306,3,4.222222222222222,High,Service quality has moderate impact on satisfaction,Short wait times are contributing to high satisfaction
173.1934313676002,9.2638215003383,3,4.222222222222222,High,Service quality has moderate impact on satisfaction,Short wait times are contributing to high satisfaction
181.30290545256943,15.996512751727751,5,4.222222222222222,High,Excellent service quality is driving high satisfaction,Short wait times are contributing to high satisfaction
162.95492877688537,4.228618028577989,1,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway",Short wait times are contributing to high satisfaction
183.75524402356484,40.30123743596287,4,4.222222222222222,High,Excellent service quality is driving high satisfaction,"Long wait times, but customers are still satisfied"
176.50776771022967,45.74091051544299,1,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway","Long wait times, but customers are still satisfied"
168.2262955477346,56.218054253012696,3,4.222222222222222,High,Service quality has moderate impact on satisfaction,"Long wait times, but customers are still satisfied"
179.04468463213442,4.8893989721825,4,4.222222222222222,High,Excellent service quality is driving high satisfaction,Short wait times are contributing to high satisfaction
166.76796041805378,48.008018135941015,3,4.222222222222222,High,Service quality has moderate impact on satisfaction,"Long wait times, but customers are still satisfied"
176.5884627116285,6.657771391379339,2,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway",Short wait times are contributing to high satisfaction
176.91873066127036,6.398380411365876,2,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway",Short wait times are contributing to high satisfaction
161.23680941658296,50.91130012011234,5,4.222222222222222,High,Excellent service quality is driving high satisfaction,"Long wait times, but customers are still satisfied"
190.4683987037461,45.46389200875988,3,4.222222222222222,High,Service quality has moderate impact on satisfaction,"Long wait times, but customers are still satisfied"
180.7056067071273,13.81907211710084,4,4.222222222222222,High,Excellent service quality is driving high satisfaction,Short wait times are contributing to high satisfaction
175.60797172200816,15.952505407965209,5,4.222222222222222,High,Excellent service quality is driving high satisfaction,Short wait times are contributing to high satisfaction
198.88872483744456,40.3957831661206,3,4.222222222222222,High,Service quality has moderate impact on satisfaction,"Long wait times, but customers are still satisfied"
189.3373793692428,50.07847330716494,5,4.222222222222222,High,Excellent service quality is driving high satisfaction,"Long wait times, but customers are still satisfied"
159.6555008329881,8.914508225699729,5,4.222222222222222,High,Excellent service quality is driving high satisfaction,Short wait times are contributing to high satisfaction
186.0016661122389,40.37846581046714,3,4.222222222222222,High,Service quality has moderate impact on satisfaction,"Long wait times, but customers are still satisfied"
156.1174690546518,11.52363816782201,5,4.222222222222222,High,Excellent service quality is driving high satisfaction,Short wait times are contributing to high satisfaction
171.01175179528457,13.507336711468366,2,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway",Short wait times are contributing to high satisfaction
150.1839663227358,15.22211186381494,5,4.222222222222222,High,Excellent service quality is driving high satisfaction,Short wait times are contributing to high satisfaction
192.24006601165647,19.52026168737512,1,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway",Short wait times are contributing to high satisfaction
152.50187032746,52.244510031400026,3,4.222222222222222,High,Service quality has moderate impact on satisfaction,"Long wait times, but customers are still satisfied"
169.6932943511229,4.906903312295084,2,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway",Short wait times are contributing to high satisfaction
193.4079693494093,9.304219705782948,3,4.222222222222222,High,Service quality has moderate impact on satisfaction,Short wait times are contributing to high satisfaction
186.92317363786648,19.37037724576998,5,4.222222222222222,High,Excellent service quality is driving high satisfaction,Short wait times are contributing to high satisfaction
163.03256142092857,5.275563182730735,1,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway",Short wait times are contributing to high satisfaction
156.57272629812334,51.75270965958824,4,4.222222222222222,High,Excellent service quality is driving high satisfaction,"Long wait times, but customers are still satisfied"
199.92421535857147,59.510085298230685,5,4.222222222222222,High,Excellent service quality is driving high satisfaction,"Long wait times, but customers are still satisfied"
155.10862414970754,1.7871813416047888,2,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway",Short wait times are contributing to high satisfaction
193.94332885486088,52.34919507027615,4,4.222222222222222,High,Excellent service quality is driving high satisfaction,"Long wait times, but customers are still satisfied"
186.42749207667853,54.90110666285192,4,4.222222222222222,High,Excellent service quality is driving high satisfaction,"Long wait times, but customers are still satisfied"
190.6646284779587,55.46210638904709,3,4.222222222222222,High,Service quality has moderate impact on satisfaction,"Long wait times, but customers are still satisfied"
192.3863862944592,40.1067234303811,5,4.222222222222222,High,Excellent service quality is driving high satisfaction,"Long wait times, but customers are still satisfied"
175.6719507782355,55.396910337971136,1,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway","Long wait times, but customers are still satisfied"
164.37473879392766,19.42665601928384,4,4.222222222222222,High,Excellent service quality is driving high satisfaction,Short wait times are contributing to high satisfaction
168.19162684441366,16.65055523537167,2,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway",Short wait times are contributing to high satisfaction
174.67755856658786,59.00026710359937,5,4.222222222222222,High,Excellent service quality is driving high satisfaction,"Long wait times, but customers are still satisfied"
186.6311748100833,6.340382658491588,4,4.222222222222222,High,Excellent service quality is driving high satisfaction,Short wait times are contributing to high satisfaction
176.5760636160017,15.804442301945508,1,4.222222222222222,High,"Service quality is poor, but customers are satisfied anyway",Short wait times are contributing to high satisfaction
184.25312646011184,52.95483333701493,4,4.222222222222222,High,Excellent service quality is driving high satisfaction,"Long wait times, but customers are still satisfied"
162.5509015372461,49.57074116139822,4,4.222222222222222,High,Excellent service quality is driving high satisfaction,"Long wait times, but customers are still satisfied"
